,Ctrl_rep1,Ctrl_rep2,Ctrl_rep3,Ctrl_rep4,SBI_rep1,SBI_rep2,SBI_rep3,SBI_rep4,ULK101_rep1,ULK101_rep2,ULK101_rep3,ULK101_rep4
ENSG00000000003,501,438,450,597,502,606,538,487,526,629,632,828
ENSG00000000005,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419,1890,1317,1431,1871,1475,1586,1422,1751,1565,2122,1993,1872
ENSG00000000457,793,722,719,824,754,922,978,977,815,1099,1137,1073
ENSG00000000460,2028,2009,1760,2130,2207,2107,1853,2309,1936,2427,2185,2259
ENSG00000000938,65,42,40,86,18,0,28,36,50,32,65,90
ENSG00000000971,4014,3728,3902,4577,3561,3954,3498,4044,4188,5654,5678,5379
ENSG00000001036,1224,928,1041,1413,1167,1071,1008,1143,1194,1327,1473,1357
ENSG00000001084,4180,3378,3678,4550,4648,4396,4594,6003,3613,4413,5143,4771
ENSG00000001167,4095,3372,3479,4529,4014,4093,4143,4496,3990,5258,5436,5222
ENSG00000001460,583,367,612,602,485,503,443,732,697,639,759,685
ENSG00000001461,3115,2893,2966,3796,3774,4038,4026,4655,3718,4294,5031,4590
ENSG00000001497,3144,2390,2523,3934,2556,2354,2517,3558,2898,2917,3799,3587
ENSG00000001561,1046,1014,1145,1220,1262,1323,1185,1396,1155,1413,1411,1370
ENSG00000001617,398,347,238,536,201,172,264,249,274,282,306,480
ENSG00000001626,18,22,4,51,13,31,4,29,5,15,14,15
ENSG00000001629,2026,1993,1956,2219,2223,2492,2303,2241,1785,2230,2280,2207
ENSG00000001630,202,198,148,357,238,296,174,260,251,247,317,500
ENSG00000001631,2411,1929,1961,2593,2224,2599,2430,2596,1949,2569,2530,2292
ENSG00000002016,1286,1198,1338,1864,1471,1470,1494,1866,1617,2023,1979,1850
ENSG00000002079,0,0,0,0,4,0,0,0,0,0,6,0
ENSG00000002330,735,646,559,1189,819,809,599,1007,833,968,1242,1449
ENSG00000002549,4997,4121,4262,6947,4717,4566,4837,6014,4021,4749,5356,5162
ENSG00000002586,2183,2017,2027,3865,2585,2219,2390,3705,2475,2549,3355,3217
ENSG00000002587,1,0,0,0,4,0,0,0,16,0,7,18
ENSG00000002726,0,0,0,10,0,0,4,3,1,1,9,0
ENSG00000002745,0,0,22,2,1,8,4,0,0,0,10,14
ENSG00000002746,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002822,2126,1565,1721,2606,2037,1975,1913,3013,1837,1925,2306,2577
ENSG00000002834,7577,6663,6830,10276,7830,7028,7101,9938,9035,8728,11844,11536
ENSG00000002919,1394,1260,1426,1684,1362,1370,1329,1784,1403,1787,1988,1913
ENSG00000002933,0,8,0,4,0,0,0,0,1,0,0,0
ENSG00000003056,7542,6585,6793,9245,6815,6472,6737,9316,7077,7509,8210,7524
ENSG00000003096,266,206,299,194,227,273,274,192,193,305,293,329
ENSG00000003137,52,27,26,38,15,18,17,36,27,11,35,25
ENSG00000003147,579,510,490,726,865,607,783,840,846,1176,979,1137
ENSG00000003249,10,4,0,14,1,0,0,2,36,10,15,29
ENSG00000003393,3242,2976,2882,3392,3379,3416,3324,3576,3142,4246,4223,4141
ENSG00000003400,1206,1042,1188,1572,1466,1558,1547,1728,1733,2272,2625,2368
ENSG00000003402,2533,2388,2417,3327,2109,2326,2357,2733,3449,3710,4219,4123
ENSG00000003436,1134,1027,849,1336,845,872,742,894,1414,1450,1546,1498
ENSG00000003509,1123,1001,977,1387,985,968,1135,1384,1142,1389,1417,1451
ENSG00000003756,3293,3409,3023,4478,3986,3984,4107,5331,3842,5120,4879,4702
ENSG00000003987,62,88,51,108,52,77,95,150,48,103,81,116
ENSG00000003989,0,0,0,0,0,0,0,0,0,4,0,0
ENSG00000004059,2345,2008,2243,3515,2443,2484,2200,3238,2466,2350,3207,3190
ENSG00000004139,2,10,9,5,21,32,11,0,19,29,37,8
ENSG00000004142,5949,4702,4938,7709,5466,5242,5647,7095,5406,6062,6505,7289
ENSG00000004399,10566,10620,9809,14214,9635,10905,9994,14669,10459,10787,14085,14653
ENSG00000004455,29217,25130,25772,38918,26888,26405,26867,32738,29985,34595,37513,37667
ENSG00000004468,0,0,0,1,0,0,6,4,0,0,0,6
ENSG00000004478,20062,16826,16944,28672,17470,16586,16073,22259,17631,18820,23276,24049
ENSG00000004487,17022,14727,15526,20955,16223,16164,16557,20698,14122,16406,18954,17885
ENSG00000004534,4833,4340,4012,6253,4850,5091,4821,6098,4838,4845,5854,5910
ENSG00000004660,351,360,306,596,351,266,342,552,282,299,325,200
ENSG00000004700,4176,3742,3479,4445,4769,4920,4428,5050,4202,5465,5947,4828
ENSG00000004766,2770,2644,2503,2623,2899,3303,3198,3494,2778,3743,3060,3015
ENSG00000004776,2,12,6,22,1,22,6,28,4,1,15,20
ENSG00000004777,455,532,369,900,767,505,546,1165,611,816,711,964
ENSG00000004779,3299,2822,3289,4155,3304,3215,3054,3724,3309,3493,4220,4532
ENSG00000004799,50,62,38,25,13,28,58,10,42,76,76,47
ENSG00000004809,0,0,0,12,0,0,0,4,0,6,0,4
ENSG00000004838,136,86,99,264,166,149,130,224,165,92,161,129
ENSG00000004846,31,6,4,24,11,24,28,21,19,13,20,9
ENSG00000004848,0,1,0,0,6,0,0,0,0,0,0,0
ENSG00000004864,2141,1919,2168,2239,2011,2151,2115,2290,2918,3556,3484,3223
ENSG00000004866,1490,1438,1349,1778,1224,1506,1416,1504,1323,1483,1453,1514
ENSG00000004897,12826,11498,11931,12363,13198,13259,13189,13469,11795,14414,14794,13719
ENSG00000004939,4,13,0,50,17,8,21,30,0,17,5,29
ENSG00000004948,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004961,1514,1344,1409,2061,1129,1379,1085,1663,1118,1234,1250,1450
ENSG00000004975,2481,2317,2458,4178,2958,2414,2423,4012,2771,2836,3457,3579
ENSG00000005001,0,0,0,4,3,0,0,0,8,0,8,0
ENSG00000005007,12271,10956,11628,15784,11972,11568,11526,17239,16515,17364,21195,20787
ENSG00000005020,2320,2157,1947,2376,2439,2446,2444,2819,2308,2888,2649,3167
ENSG00000005022,14127,12272,12797,19097,14398,12164,13012,16240,12592,13559,15801,15953
ENSG00000005059,793,709,764,1030,934,907,802,999,589,778,816,924
ENSG00000005073,348,299,453,563,266,278,251,411,485,526,651,670
